Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
30,0.137959394172912,21.3595496594901,40.5264874464868,1356.99991373322,143.000086266781,46812910.6427888,59782.3156109914,34497.357125103,418.057898926447,-490.524593393233,826.039872013704,396.874599704595,0.00457422077862753,1.39833945367071E-06,629.336964271288,1112.58195242496,1105.57740445212,6.00868851017262,0.005,0.005,0.998000073130598,0.00199992686940156,0.99805289104229,0.00194710895771022,0.998052006673161,0.00194799332683944,0.00201588,0.00201588,0.00201588,-1.58175473159701E-09,8.78090660541212E-12,146.3814
31,0.138189692473266,21.3656919145818,40.5414278865935,1357.14597758889,142.854022411115,46812893.2285519,59799.7244349177,34493.6314896059,418.607214732968,-490.391515426039,826.328563274964,396.930356042001,0.00483728803073367,1.50360580947664E-06,629.205649232014,1112.62426229175,1105.7530750126,6.0094485268361,0.005,0.005,0.998000073111288,0.00199992688871224,0.998052890778155,0.00194710922184467,0.998051984016105,0.00194801598389509,0.00201588,0.00201588,0.00201588,-1.16867134485347E-10,6.46837904498706E-12,139.3925
32,0.138420156790292,21.3718312717591,40.5558635441756,1357.29204272755,142.707957272448,46812875.1708488,59817.7762814061,34489.9061492881,419.162164638137,-490.258446158134,826.606407530591,396.986012677217,0.00501602863892913,1.62683634294404E-06,629.074383491099,1112.66951409767,1105.8992453577,6.01020877863226,0.005,0.005,0.998000073091272,0.00199992690872775,0.998052890497588,0.00194710950241199,0.998051961373427,0.00194803862657333,0.00201588,0.00201588,0.00201588,-7.70389193484529E-10,1.26120749645752E-11,148.3314
33,0.138650790380852,21.3779678230334,40.569934816499,1357.43811775867,142.561882241331,46812856.6923589,59836.2495756092,34486.1810493828,419.721237085784,-490.125383639699,826.876421303116,397.041570500837,0.00513291386059589,1.44324989782439E-06,628.943184295505,1112.7168671973,1106.02399986734,6.01096931073409,0.005,0.005,0.998000073070799,0.00199992692920074,0.99805289020367,0.00194710979632995,0.998051938745015,0.00194806125498509,0.00201588,0.00201588,0.00201588,-7.65810364681282E-10,4.21641330839533E-12,134.0155
34,0.138881595501759,21.384101633412,40.5837425096437,1357.58420878464,142.415791215363,46812837.9513007,59854.9851988183,34482.4561514378,420.283345603894,-489.992326503491,827.140770548179,397.097030154978,0.00520584950430526,1.509723563989E-06,628.812094136037,1112.76568027095,1106.13314077805,6.01173015531072,0.005,0.005,0.998000073050044,0.00199992694995561,0.99805288989868,0.00194711010131967,0.998051916130788,0.00194808386921156,0.00201588,0.00201588,0.00201588,-1.29019616028511E-09,1.98648043675687E-12,138.3061
35,0.139112573849908,21.3902327527659,40.5973599833036,1357.7303203266,142.269679673399,46812819.0636626,59873.8673091531,34478.7314261361,420.847698867408,-489.859273708488,827.401031547146,397.15239214246,0.00524656613253885,1.53548394640287E-06,628.681225437874,1112.81541654271,1106.2308890903,6.01249133633168,0.005,0.005,0.998000073029136,0.0019999269708637,0.998052889584369,0.00194711041563103,0.998051893530676,0.00194810646932351,0.00201588,0.00201588,0.00201588,-3.35083123874508E-09,7.27917415708527E-12,121.8123
36,0.139343726475702,21.3963612135903,40.6108379177424,1357.87645544321,142.12354455679,46812800.1092073,59892.8158053459,34475.0068546757,421.413749510123,-489.72622458916,827.658293306041,397.207656806951,0.00526512646219797,1.65529756082429E-06,628.551161089468,1112.86521882934,1106.32015945437,6.01325287017358,0.005,0.005,0.998000073008163,0.00199992699183663,0.998052889261997,0.0019471107380029,0.998051870944633,0.00194812905536693,0.00201588,0.00201588,0.00201588,-1.38524465376943E-09,2.25452768907047E-12,133.7732
37,0.139575054356735,21.402487046319,40.6242202439326,1358.02261686306,141.977383136936,46812781.1579241,59911.7612197709,34471.2824194771,421.98102187858,-489.593178523638,827.91349988575,397.26282447225,0.00526424535860618,1.63024084435569E-06,628.420286251195,1112.91637338915,1106.40347793868,6.01401477151273,0.005,0.005,0.998000072987203,0.00199992701279693,0.998052888932743,0.00194711106725691,0.998051848372609,0.0019481516273906,0.00201588,0.00201588,0.00201588,-1.41997508308672E-09,1.59220480947261E-12,148.5779
38,0.139806558162652,21.4086102731062,40.6375404273253,1358.16880662262,141.83119337738,46812762.2626963,59930.6505744236,34467.5581079692,422.549152603983,-489.460135068903,828.167370509953,397.317895386307,0.00524867437986864,1.63142051961687E-06,628.288152054037,1112.96910965605,1106.48276654952,6.01477705143424,0.005,0.005,0.998000072966314,0.00199992703368615,0.998052888597558,0.00194711140244196,0.998051825814569,0.00194817418543136,0.00201588,0.00201588,0.00201588,-5.92991073837231E-10,8.25630444615069E-13,143.7277
39,0.140038238303462,21.4147309091542,40.6508180454631,1358.31502597492,141.684974025077,46812743.4550885,59949.4527923773,34463.83391179,423.117929087999,-489.327093932275,828.420325933125,397.372869733688,0.00522433548544844,1.49716519647174E-06,628.155992239329,1113.02213539812,1106.55914802117,6.01553971695052,0.005,0.005,0.998000072945531,0.00199992705446946,0.998052888257064,0.00194711174293555,0.998051803270477,0.00194819672952323,0.00201588,0.00201588,0.00201588,-1.1943652077624E-09,5.05573204936341E-12,118.1062
