Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
172,0.14176937838184,21.4602373484703,26.5910746547015,3441.09221462336,358.907785376636,118497791.943857,246353.07869772,34436.0989340201,686.396586352115,-488.33618973979,519.536221706655,397.779356025087,0.00867831703275442,2.06366719471084E-05,979.196131339276,281.614034914471,278.840483110891,15.6852101744476,0.003,0.003,0.998000031059114,0.00199996894088606,0.99805277802638,0.00194722197361956,0.998051595133422,0.00194840486657767,0.00201588,0.00201588,0.00201588,-1.60346267871408E-09,1.75801766356895E-12,84.207
173,0.141835944553814,21.4619792212606,26.5929643156361,3441.19755577132,358.802444228676,118497760.676382,246384.269320112,34435.0356978624,686.685035966711,-488.298203164737,519.561164039476,397.794832339767,0.00868540949291653,2.13477181063758E-05,979.223532113113,281.579174422205,278.814744945225,15.6857917827872,0.003,0.003,0.99800003104551,0.00199996895449036,0.998052777875451,0.00194722212454884,0.998051588719808,0.00194841128019181,0.00201588,0.00201588,0.00201588,-1.2160675184463E-09,2.97995990374989E-12,81.3683
174,0.141902525236196,21.4637208892661,26.5948478350582,3441.3029023091,358.697097690898,118497729.391388,246415.47849453,34433.9724677757,686.973717046563,-488.260216663887,519.585964978243,397.810300871188,0.00869027617490954,2.10610611571206E-05,979.250938860085,281.544315553672,278.78867329621,15.6863734913737,0.003,0.003,0.998000031031899,0.00199996896810059,0.998052777723661,0.00194722227633854,0.998051582307285,0.00194841769271493,0.00201588,0.00201588,0.00201588,-8.01922444369965E-10,2.56045647527204E-12,77.6212
175,0.141969120512276,21.4654623547606,26.5967255623128,3441.40825456543,358.59174543457,118497698.095465,246446.702311778,34432.9092423906,687.262619537196,-488.222230188477,519.610632441908,397.825761640599,0.0086933118932777,2.00293213129044E-05,979.278351686979,281.509457790805,278.762287019272,15.6869553020659,0.003,0.003,0.998000031018286,0.00199996898171389,0.998052777571043,0.00194722242895693,0.998051575895847,0.00194842410415289,0.00201588,0.00201588,0.00201588,-8.93123911245425E-10,3.33965011162262E-12,81.7623
176,0.142035730307407,21.4672036158871,26.5985975710114,3441.51361225462,358.486387745375,118497666.782728,246477.940020579,34431.84602286,687.551741004032,-488.184243779827,519.635168114233,397.841214632578,0.00869798263741864,2.08413062824143E-05,979.305770692929,281.474600666658,278.735590213863,15.6875372133297,0.003,0.003,0.998000031004667,0.00199996899533281,0.998052777417567,0.00194722258243296,0.998051569485498,0.00194843051450157,0.00201588,0.00201588,0.00201588,-1.4843434198508E-09,1.50083597648026E-12,83.7676
177,0.142102354617627,21.4689446726343,26.6004641504814,3441.61897550495,358.381024495054,118497635.457666,246509.188344326,34430.7828092098,687.841072756708,-488.146257439007,519.659578572533,397.856659848031,0.00870140607572264,2.13161442014906E-05,979.333195795993,281.439744190285,278.708598790511,15.6881192259173,0.003,0.003,0.998000030991045,0.00199996900895541,0.998052777263255,0.00194722273674487,0.998051563076241,0.00194843692375934,0.00201588,0.00201588,0.00201588,-1.34256596497866E-09,6.28147772490038E-13,80.4328
178,0.14216899360135,21.4706855292363,26.6023257073964,3441.72434487771,358.275655122293,118497604.130754,246540.442718684,34429.719598873,688.130603332595,-488.108271074451,519.683873023351,397.872097325573,0.00870191989259587,2.01492384076118E-05,979.360627039527,281.404888019387,278.68133466151,15.6887013429734,0.003,0.003,0.998000030977423,0.00199996902257713,0.998052777108159,0.001947222891841,0.998051556668062,0.00194844333193756,0.00201588,0.00201588,0.00201588,-3.37415454852949E-10,2.67497998810068E-12,80.3347
179,0.142235647142257,21.4724261827463,26.6041822773944,3441.82972000599,358.17027999401,118497572.7956,246571.70278519,34428.6563936679,688.420331215963,-488.070284751261,519.708052298797,397.8875270401,0.00870420947257015,2.0857664446036E-05,979.388064589908,281.370031555624,278.653799832205,15.6892835625155,0.003,0.003,0.998000030963799,0.00199996903620074,0.998052776952247,0.00194722304775278,0.998051550260972,0.00194844973902839,0.00201588,0.00201588,0.00201588,-1.29686879798251E-10,8.48868255167371E-13,78.9303
180,0.1423023153064,21.4741666349791,26.6060341835531,3441.93510121069,358.064898789306,118497541.459484,246602.964889375,34427.5931925046,688.71024700604,-488.032298430641,519.732123728168,397.902949008671,0.00870447674145301,2.05589127209451E-05,979.41550834317,281.335174872813,278.626011952484,15.6898658863614,0.003,0.003,0.998000030950177,0.00199996904982308,0.998052776795556,0.00194722320444379,0.998051543854964,0.00194845614503569,0.00201588,0.00201588,0.00201588,-1.63666780195972E-09,4.65052785141191E-14,83.4777
181,0.142368998113469,21.4759068865423,26.607881605896,3442.04048855719,357.959511442815,118497510.123423,246634.227038469,34426.5299950304,689.000345442336,-487.994312100132,519.756091396069,397.918363237727,0.00870446138911777,2.05310848024156E-05,979.442958397671,281.300317533999,278.597980742521,15.6904483149169,0.003,0.003,0.998000030936556,0.00199996906344372,0.998052776638092,0.00194722336190853,0.998051537450039,0.00194846254996147,0.00201588,0.00201588,0.00201588,-8.73751932454424E-10,1.96450836855201E-12,79.8922
